timestamp,signal_type,price,1min_close,3min_close,rsi,vwap
2025-02-28 11:11:00,BREAKOUT SHORT,22258.75,22259.95,22258.75,40.83215491384843,nan
2025-02-28 11:12:00,BREAKOUT SHORT,22248.7,22248.7,22248.7,37.2360230655566,nan
2025-02-28 11:13:00,BREAKOUT SHORT,22248.7,22256.85,22248.7,37.2360230655566,nan
2025-02-28 11:14:01,BREAKOUT SHORT,22251.95,22251.95,22251.95,38.833681680007615,nan
2025-02-28 11:15:01,BREAKOUT SHORT,22246.25,22246.25,22246.25,36.516989223096516,nan
2025-02-28 11:16:00,BREAKOUT SHORT,22246.25,22247.5,22246.25,36.516989223096516,nan
2025-02-28 11:17:00,BREAKOUT SHORT,22250.75,22250.75,22250.75,38.85257243554038,nan
2025-02-28 11:18:01,BREAKOUT SHORT,22252.75,22252.75,22252.75,39.836333447636385,nan
2025-02-28 11:19:00,BREAKOUT SHORT,22252.75,22247.8,22252.75,39.836333447636385,nan
2025-02-28 11:20:00,BREAKOUT SHORT,22247.25,22247.25,22247.25,38.02460340549872,nan
2025-02-28 11:21:02,BREAKOUT SHORT,22245.7,22245.7,22245.7,37.54341307959777,nan
2025-02-28 11:22:00,BREAKOUT SHORT,22245.7,22245.25,22245.7,37.54341307959777,nan
2025-02-28 11:23:00,BREAKOUT SHORT,22244.85,22244.85,22244.85,37.264913704413395,nan
2025-02-28 11:24:01,BREAKOUT SHORT,22243.15,22243.15,22243.15,36.72012929477231,nan
2025-02-28 11:25:01,BREAKOUT SHORT,22243.15,22243.65,22243.15,36.72012929477231,nan
2025-02-28 11:26:00,BREAKOUT SHORT,22242.75,22242.75,22242.75,36.58460452789779,nan
2025-02-28 11:27:01,BREAKOUT SHORT,22242.9,22242.9,22242.9,36.635308921472344,nan
2025-02-28 11:28:00,BREAKOUT SHORT,22242.9,22255.35,22242.9,36.635308921472344,nan
2025-02-28 11:29:00,BREAKOUT SHORT,22255.6,22255.6,22255.6,43.74434268629582,nan
2025-02-28 11:30:01,BREAKOUT SHORT,22259.75,22259.75,22259.75,45.73381067894503,nan
2025-02-28 11:31:00,BREAKOUT SHORT,22259.75,22275.55,22259.75,45.73381067894503,nan
2025-02-28 11:32:01,BREAKOUT SHORT,22276.55,22276.55,22276.55,52.982741046830085,nan
2025-02-28 11:33:00,BREAKOUT SHORT,22266.75,22266.75,22266.75,49.009442914515155,nan
2025-02-28 11:34:00,BREAKOUT SHORT,22266.75,22257.15,22266.75,49.009442914515155,nan
2025-02-28 11:35:01,BREAKOUT SHORT,22253.35,22253.35,22253.35,43.58567576599711,nan
2025-02-28 11:36:00,BREAKOUT SHORT,22253.4,22253.4,22253.4,43.60368145043313,nan
2025-02-28 11:37:00,BREAKOUT SHORT,22253.4,22254.65,22253.4,43.60368145043313,nan
2025-02-28 11:38:00,BREAKOUT SHORT,22255.4,22255.4,22255.4,44.589735561639266,nan
2025-02-28 11:39:00,BREAKOUT SHORT,22261.3,22261.3,22261.3,47.30755356940178,nan
2025-02-28 11:40:00,BREAKOUT SHORT,22261.3,22259.75,22261.3,47.30755356940178,nan
2025-02-28 11:41:02,BREAKOUT SHORT,22261.1,22261.1,22261.1,47.22299719281249,nan
2025-02-28 11:42:00,BREAKOUT SHORT,22252.45,22252.45,22252.45,43.834420960732885,nan
2025-02-28 11:43:00,BREAKOUT SHORT,22252.45,22239.15,22252.45,43.834420960732885,nan
2025-02-28 11:44:00,BREAKOUT SHORT,22243.4,22243.4,22243.4,40.5555022374434,nan
2025-02-28 11:45:01,BREAKOUT SHORT,22240.4,22240.4,22240.4,39.57420571420473,nan
2025-02-28 11:46:01,BREAKOUT SHORT,22240.4,22239.25,22240.4,39.57420571420473,nan
2025-02-28 11:47:00,BREAKOUT SHORT,22237.9,22237.9,22237.9,38.73312732009818,nan
2025-02-28 11:48:01,BREAKOUT SHORT,22235.8,22235.8,22235.8,38.05376541168724,nan
2025-02-28 11:49:02,BREAKOUT SHORT,22235.8,22235.8,22235.8,38.05376541168724,nan
2025-02-28 11:50:00,BREAKOUT SHORT,22226.3,22226.3,22226.3,35.05808288384243,nan
2025-02-28 11:51:01,BREAKOUT SHORT,22225.45,22225.45,22225.45,34.81287559899884,nan
2025-02-28 11:52:00,BREAKOUT SHORT,22225.45,22224.65,22225.45,34.81287559899884,nan
2025-02-28 11:53:01,BREAKOUT SHORT,22229.3,22229.3,22229.3,36.963496240084105,nan
2025-02-28 11:54:01,BREAKOUT SHORT,22231.65,22231.65,22231.65,38.20784595838094,nan
2025-02-28 11:55:01,BREAKOUT SHORT,22231.65,22230.95,22231.65,38.20784595838094,nan
2025-02-28 11:56:00,BREAKOUT SHORT,22233.3,22233.3,22233.3,39.11660751204079,nan
2025-02-28 11:57:00,BREAKOUT SHORT,22236.35,22236.35,22236.35,40.727930477411505,nan
2025-02-28 11:58:00,BREAKOUT SHORT,22236.35,22243.05,22236.35,40.727930477411505,nan
2025-02-28 11:59:00,BREAKOUT SHORT,22242.45,22242.45,22242.45,43.9244124879122,nan
